Datum;Kurs
2020-07-01 00:00:00;377.5
2020-08-01 00:00:00;375.9591836734694
2020-09-01 00:00:00;374.4183673469388
2020-10-01 00:00:00;372.8775510204082
2020-11-01 00:00:00;371.33673469387753
2020-12-01 00:00:00;369.7959183673469
2021-01-01 00:00:00;368.2551020408163
2021-02-01 00:00:00;366.7142857142857
2021-03-01 00:00:00;365.1734693877551
2021-04-01 00:00:00;363.6326530612245
2021-05-01 00:00:00;362.09183673469386
2021-06-01 00:00:00;360.55102040816325
2021-07-01 00:00:00;359.01020408163265
2021-08-01 00:00:00;357.46938775510205
2021-09-01 00:00:00;355.92857142857144
2021-10-01 00:00:00;354.38775510204084
2021-11-01 00:00:00;352.8469387755102
2021-12-01 00:00:00;351.3061224489796
2022-01-01 00:00:00;349.765306122449
2022-02-01 00:00:00;348.2244897959184
2022-03-01 00:00:00;346.68367346938777
2022-04-01 00:00:00;345.1428571428571
2022-05-01 00:00:00;343.6020408163265
2022-06-01 00:00:00;342.0612244897959
2022-07-01 00:00:00;340.5204081632653
2022-08-01 00:00:00;338.9795918367347
2022-09-01 00:00:00;337.4387755102041
2022-10-01 00:00:00;335.8979591836735
2022-11-01 00:00:00;334.35714285714283
2022-12-01 00:00:00;332.81632653061223
2023-01-01 00:00:00;331.2755102040816
2023-02-01 00:00:00;329.734693877551
2023-03-01 00:00:00;328.1938775510204
2023-04-01 00:00:00;326.6530612244898
2023-05-01 00:00:00;325.11224489795916
2023-06-01 00:00:00;323.57142857142856
2023-07-01 00:00:00;322.03061224489795
2023-08-01 00:00:00;320.48979591836735
2023-09-01 00:00:00;318.94897959183675
2023-10-01 00:00:00;317.40816326530614
2023-11-01 00:00:00;315.86734693877554
2023-12-01 00:00:00;314.3265306122449
2024-01-01 00:00:00;312.7857142857143
2024-02-01 00:00:00;311.2448979591837
2024-03-01 00:00:00;309.7040816326531
2024-04-01 00:00:00;308.1632653061224
2024-05-01 00:00:00;306.6224489795918
2024-06-01 00:00:00;305.0816326530612
2024-07-01 00:00:00;303.5408163265306
2024-08-01 00:00:00;302.0
2024-09-01 00:00:00;300.4591836734694
2024-10-01 00:00:00;298.9183673469388
2024-11-01 00:00:00;297.3775510204082
2024-12-01 00:00:00;295.83673469387753
2025-01-01 00:00:00;294.2959183673469
2025-02-01 00:00:00;292.7551020408163
2025-03-01 00:00:00;291.2142857142857
2025-04-01 00:00:00;289.6734693877551
2025-05-01 00:00:00;288.13265306122446
2025-06-01 00:00:00;286.59183673469386
2025-07-01 00:00:00;285.05102040816325
2025-08-01 00:00:00;283.51020408163265
2025-09-01 00:00:00;281.96938775510205
2025-10-01 00:00:00;280.42857142857144
2025-11-01 00:00:00;278.88775510204084
2025-12-01 00:00:00;277.3469387755102
2026-01-01 00:00:00;275.8061224489796
2026-02-01 00:00:00;274.265306122449
2026-03-01 00:00:00;272.7244897959184
2026-04-01 00:00:00;271.18367346938777
2026-05-01 00:00:00;269.6428571428571
2026-06-01 00:00:00;268.1020408163265
2026-07-01 00:00:00;266.5612244897959
2026-08-01 00:00:00;265.0204081632653
2026-09-01 00:00:00;263.4795918367347
2026-10-01 00:00:00;261.9387755102041
2026-11-01 00:00:00;260.3979591836735
2026-12-01 00:00:00;258.85714285714283
2027-01-01 00:00:00;257.31632653061223
2027-02-01 00:00:00;255.77551020408163
2027-03-01 00:00:00;254.23469387755102
2027-04-01 00:00:00;252.69387755102042
2027-05-01 00:00:00;251.1530612244898
2027-06-01 00:00:00;249.6122448979592
2027-07-01 00:00:00;248.07142857142856
2027-08-01 00:00:00;246.53061224489795
2027-09-01 00:00:00;244.98979591836735
2027-10-01 00:00:00;243.44897959183672
2027-11-01 00:00:00;241.90816326530611
2027-12-01 00:00:00;240.3673469387755
2028-01-01 00:00:00;238.82653061224488
2028-02-01 00:00:00;237.28571428571428
2028-03-01 00:00:00;235.74489795918367
2028-04-01 00:00:00;234.20408163265304
2028-05-01 00:00:00;232.66326530612244
2028-06-01 00:00:00;231.12244897959184
2028-07-01 00:00:00;229.5816326530612
2028-08-01 00:00:00;228.0408163265306
2028-09-01 00:00:00;226.5
2028-10-01 00:00:00;224.9591836734694
2028-11-01 00:00:00;223.41836734693877
2028-12-01 00:00:00;221.87755102040816
2029-01-01 00:00:00;220.33673469387756
2029-02-01 00:00:00;218.79591836734693
2029-03-01 00:00:00;217.25510204081633
2029-04-01 00:00:00;215.71428571428572
2029-05-01 00:00:00;214.1734693877551
2029-06-01 00:00:00;212.6326530612245
2029-07-01 00:00:00;211.09183673469389
2029-08-01 00:00:00;209.55102040816325
2029-09-01 00:00:00;208.01020408163265
2029-10-01 00:00:00;206.46938775510205
2029-11-01 00:00:00;204.92857142857142
2029-12-01 00:00:00;203.3877551020408
2030-01-01 00:00:00;201.8469387755102
2030-02-01 00:00:00;200.30612244897958
2030-03-01 00:00:00;198.76530612244898
2030-04-01 00:00:00;197.22448979591837
2030-05-01 00:00:00;195.68367346938774
2030-06-01 00:00:00;194.14285714285714
2030-07-01 00:00:00;192.60204081632654
2030-08-01 00:00:00;191.0612244897959
2030-09-01 00:00:00;189.5204081632653
2030-10-01 00:00:00;187.9795918367347
2030-11-01 00:00:00;186.43877551020407
2030-12-01 00:00:00;184.89795918367346
2031-01-01 00:00:00;183.35714285714286
2031-02-01 00:00:00;181.81632653061223
2031-03-01 00:00:00;180.27551020408163
2031-04-01 00:00:00;178.73469387755102
2031-05-01 00:00:00;177.1938775510204
2031-06-01 00:00:00;175.6530612244898
2031-07-01 00:00:00;174.1122448979592
